Company,Brief Description,Protein Category,Company Focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
Tofutti,"Produces plant-based ice creams and frozen desserts, PB cheeses/sour cream, and other frozen foods.",Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other dairy,Cheese",,Soy,U.S. and Canada,United States,New Jersey,Cranford,http://www.tofutti.com/,1981,,tofuttilogo.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/PKtOxilXxYKB6atDsSflFw/6lB0iNC9mp-IoWez_oYdNzFk6a7MuXQpzD6XCHbTBIOe4GKyz8nNHMOEK_4zAx8mnEeB_ZWk_fw4qjdOKZh5r_c5jQ2gGw7k1Hd6BOPaxrx68vtR3OuQkEwaEMKwO7SsNaIxmf5eGON-nxZK_GjqjA/6h2xfDzQow54H3pftI0wMkSFbr-M8CtobhnsVBoJ4ws)
Gardein,"Produces Gardein brand plant-based meat alternatives, including chicken, beef, fish, pocket meals, and holiday items. Widely available in the frozen section of grocery stores. Gardein HQ is in Canada, but they also have a branch in California. Pinnacle HQ is in NJ.",Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Chicken,Fish,Pork",Soy,U.S. and Canada,Canada,BC,Richmond,http://gardein.com/,2009,Yves Potvin,Gardein-Logo.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/pRn0u3YuF-5MmtmiqZxGkg/ni3_K2-lnVtZ5EnAY-duy0XKvSijfjDBSWEeMTIY1_wCW82gVgWqOWoekHdzurEgy_NhDVx2QxxxvmOeZddpFZy5E0_rMVmHQK3pOeodMhxUJh7BEvYccl_pVWDEzjGZfZaZT5zvouxhw5RTetTFuA/IsA8xRPIbaxz07JelBBz9FDTtOaKD1v3D8vU2lL2f9Q)
NotCo,"Chilean company that produces plant-based dairy products including mayo, milk, yogurt, and cheese.",Plant-based,Dairy,Specialized (focused on alternative proteins),"Ingredient optimization,End product formulation and manufacturing","Milk,Cheese,Other dairy",,Pea,"Latin America,U.S. and Canada",Chile,,Santiago,http://www.notco.com/,2015,"Matías Muchnick, Pablo Zamora, Karim Pichara",Screen Shot 2021-01-04 at 4_50_33 PM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/2movBqqwLm9inGheMLg_VQ/v_xPJJj7fGqQ3mJ5-uaA_lUUyB-pAP6zZUVYS_SlMJsLhD0o_NgUu4k7JH94ANu37WYt5Ioo8JH173sy2HwWnfmcnY-_DRJPLHySz-UIXpON3Uvufmg1OYf9LWbFUAdfCaOVNE9QPEh-iDznM913kookEaNhCZ6ZTOKoqq39RFA/OvdBgzkLvMoeUToyiP4EO3xm8Fs6V0W0SxruDXNhDgo)
Meta Burger,Startup QSR serving plant-based burgers,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Chicken",,U.S. and Canada,United States,Colorado,Edgewater,https://metaburger.com/,2018,"Michael Reeves, Matthew Coates",MetaBurgerLogo.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/SaBOLVgxEReYtYJ2ckGotQ/IHOa6loUPORm7azwP9DZ5f8qsF62FqBqhvheMO2uEy_El0b8Vg9A8igNY4xDgHn7LFNPpDH5hBelspEOU6rDAnL8Mqlj65-P3jhFjJEyGx6LhazaWa7H9Hq-5Y1orjYt2JcN8IW6Ki4LhQ6WceFf3Q/396P8xnRWRELIoqdfBAIKW1QcSXtUXiaO-yq8Y5R1Yg)
Rebbl,Produces plant-based RTD beverages and milks,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,Coconut,U.S. and Canada,United States,California,Emeryville,https://rebbl.co/,2012,"
David Batstone",rebbl.PNG (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/5VqNNlI9L_3XReSKGQsKCQ/LOQthoz5Dnd6vMIgaOjauxqZrXDNBcD6wSqNiqe9NoxqC1cW_YCUYkDVgeZ3UFPPW0RQZjjSYGxqJ7br4qUHdv-hBJRR7kfYD2tuZPx4PnEpXY-om8oIFEWdAWQdO-583BvQ1Nk0muz_XW3w8L9yew/wCD9c4rnsIsg8G_nlvqUXx3U-NCE35S9EmaLvZiIDZY)
Vida Veg,"Brazilian producer of plant-based cheese, yogurt, cream cheese, and other dairy products.",Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Soy,Pea,Coconut,Almond,Cashew",Latin America,Brazil,,Lavras,http://www.vidaveg.com.br/,2015,"Anderson Rodrigues, Alvaro Gazolla",vida-veg-logo-98x110-1.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/9EEep5Z7QogX17k-NEPukg/MJwcjTHqlC3218B86MibK8oznz2XET4oYdmVyPrtuXDR3C6iF9m76HclSjtHSdXSzY6bimfd9KN2XgMuh36llHkkA81DYprwSBovW9qiE344jdMu61UFMebIkWfDHIZQzFaVRQKn64tlE31ZMYLb1OoPwUaGepLGhtYMFjuFbSc/qzOe3gJfbW0olhUBsYWRLY3tD3SQRcsZON8jXNfMOuU)
24 Vegan,Produces vegan fish sauce,Plant-based,"Other,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Other,"Fish,Shellfish",Soy,"U.S. and Canada,Europe,Asia Pacific",United States,CA,Arcadia,http://24vegan.com/,2016,Kimberly Vodang,24vegan-r-slogan-1.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/m3jRVYCCR2Vx6Gz9FuXbig/TXwLftvP-QLmnz8PFAilNA8XTDgPT8RLJlST7Q9puRqwjZhqKNbeX81KHjkiAUwuQUIW3a-3qTxELQnXc-TYvefGsLJLZoNFuUsAJcxTkOLKST6HAO8RDVQxCRsfx9pGj-lDiBtXZR2H2IfrzXpb9mFcQBRoUcsYNfa1XJAi9tA/_Khm2RRWjPcKMoRqiOT3a6A6kBPheG95EqYh8i5629Q)
Daring Foods,Maker of plant-based chicken,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,Chicken,Soy,U.S. and Canada,United States,California,Culver City,http://www.daringfoods.com/,2018,"Eliott Kessas, Ross Mackay",daring-foods_myshopify_com_logo.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/KYjU-Oz0BJTN9IE0jBKUmQ/jOcUjpQiNwqd_i-Djrv-ROdW5JXPqHBOn4TW20Gz6EDU8QChoE2D9Y1Fc_uPGBKbaFLq5yML3HXsQ86MvLuIm-dpMx4ZLV0dTWP24Nag8ZEjckFBBM_JqZ2N8uRqFL3pM4szqfU7mi76twHw15Bp6h4UGu_gr0OOf7LtMPAHRmA/KbG3AawtNqT_2XMpCajyJ7NsSATGRz9H_GL3u5YRyyU)
Treeline Cheese,Produces nut-based artisanal cheeses.,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Cashew,U.S. and Canada,United States,New York,Kingston,http://www.treelinecheese.com/,2012,Michael Schwarz,image001_3_78e3d970-d281-40bf-8953-149c3996485f_150x.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/0k_2CulqqP9XJJbLU9Z7ww/sQjEoweBKLKuUjRNeqs7Ip9ShhSF82GQg6YxYY_6waat19uckhz0rVph5OziTnCW7YyJy-FNX0O6U17foeOLsZR4bcmXV_jSqFwvS166qnEJbuKYDFYskLkLp--SDY_8EKc7EbYR_EVs0svIdbejzquJA7cBoVMyUIgKk7CvldttHkXyj7Qm5omXEP3lAAFZgDLwXr-q4q8fanUB8yaMWA/KT8G47LTDpCrLjSchSUD51PGxgQRhCFAYaRF-o5qb-8)
Leaf Cuisine,Produces cashew-based cheeses,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Cashew,U.S. and Canada,United States,California,Santa Monica,http://www.leafcuisine.com/,2004,Rod Rotondi,2017-Logo-B.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/r2coWEJf4hHcNdKUj0pIeg/wWdZmksNg_DuYcA5oiPbrWX0vFKLe0pCI4GEOfYvvAMwUgCqEiR1Kdf4WveBw5pF-iKz0waGycrZhtjjV-yHu8fkEatlFsxO3aiwqNt0Pob8Rcxd7m7hEsypFwW3EYb82POCw5G3OKToSJ06pff4Fw/PgMF2a6mCmz0UtggYN7IZ99LehCKktOd6ScsJQ78BWg)
Silk,"Produces plant-based milks (soy, almond, coconut, and cashew-based), as well as plant-based yogurt and creamer. ",Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Almond,Oat,Soy,Coconut,Cashew",U.S. and Canada,United States,Colorado,Boulder,https://silk.com/,1978,Steve Demos,silk.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/rHLw41rn2tTWG2N5MyHMdQ/MLAb5tCB2pVgRHN3k1YsHoALPQ9mkHuhC0Gzb-KmR6qT4svg3YWzcq3BSENqASukcP2hwjiCyAw2jsMaWnFyVbJRkrq7nUrDluVAJUXAxOqs9cW7HBgoPzGwZQB77LjonKIkJD-OGzkQJ626q6gmrA/HBAHiDtYAFeFtq1hhLsFYlFF9UtgPLl5gW05gvFTGM0)
Plant Strong,"Maker of plant-based meals, meal-planners, and ""rescue"" program - encouraging people to go plant-based",Plant-based,Other,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other,,,U.S. and Canada,United States,Texas,Austin,https://plantstrong.com/,2019,Rip Esselstyn,Screen Shot 2021-02-11 at 12_35_46 PM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/ZSxNPOypOKiw1DUNF_93xw/cA-J0ge0B2H1EOcLfMwdFC8qZ5RRg64Ax8-lOxBloCvHcUKjXGXf02k0yCBd39iTbCLzeKM5eJ0y_ubZCna2hh2zXufBkN3VtbiGQqBqMxH5cTgG5KL3VM6vR5xJXzdlIOKTG24aZ4X2yF7B_lYGEhlJBivE6Ye7qftPF8Hp-cI/qS4qE7bQwsrw7GeENNEsKGt0SUIDscZpuJuLYrNZjCM)
Vegg,"Maker of The Vegg, plant-based egg replacers including scramble, yolk, and baking ingredient",Plant-based,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Eggs,,"Yeast,Soy,Algae",U.S. and Canada,United States,New York,Carle Place,https://thevegg.com/,2011,Rocky Shepheard,Capture.JPG (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/gQqRRhK7kemQgHMqZLyVMA/k2xCPOxdOeE5Y1vE28QJ8YAbSsB-T4OGKgTnw-eXZtlEud93hKYwOXgEsBHSpkc213onM5QMN7PY3-yNHVrKr9YwzpXOteziUx8ZuQsN0oSV8aLCbQq4ftJ6ijM9MwMN1bf7KAJMbwRP25valjku4g/d6cyirbVxBR0IfmtmbbU2zLaybuoLe6BoM44It5xZ6I)
MyEy,Maker of plant-based egg substitute for cooking and baking,Plant-based,"Ingredients and inputs,Eggs",Specialized (focused on alternative proteins),End product formulation and manufacturing,Eggs,,Lupine,Europe,Austria,,,https://myey.info/egg-replacer-processor/?lang=en,2013,,Screen Shot 2021-01-25 at 4_30_59 PM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/Cpam7LpRQgywsBT5fLqjYg/ZT2vZ9JvKzNhM8gOq1bEX8wnCbq_VTPBIqEhPdvkADl5tAyNz1Tc_PBS9PPRBB7YqsALV4aeVzQfd08qZtAM6Afgsa8aN5iVlBcTt_CYVLASMIpbKjOo04fdg5gG76I0ubZGz5uwzQrWfr5_lFRSKyO95HU2xde8sRJjdFLISHM/46mx7_DgV1yEx_EGRqf6UXMNwUp3blZ9W5n9JH3bOQ8)
No Evil Foods,"Plant-based chicken, sausage, pork, and chorizo",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Ground meat/seafood","Chicken,Pork",Wheat,U.S. and Canada,United States,North Carolina,Asheville,https://www.noevilfoods.com/,2014,"Sadrah Schadel, Mike Woliansky",Screen Shot 2021-01-04 at 3_15_29 PM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/1AnHFVimO3PwskMs2u1zYA/hfLSNvXkiY_yPKjdYT4q83D4H4otHhxvZhbqFeH1VIx4KfL85_UkOa_yN-1BYIZITMTyYeUfQO4TpW7nIw6A5EknqqGcRpAE3I-1OW-99lTEAzQofwTnqkGz7vvO6n1H953CSpd_TnefauBegF9W1onf6bH83jD6MDxO82Q8n1s/qBbyfcxKz0rhX96cLsnCH-JwmmFKYjastOVpQg0XKg4)
Moku Foods,Mushroom and plant-based jerky,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Beef/veal,"Mushrooms,Coconut",U.S. and Canada,United States,California,Santa Monica,https://mokufoods.com/,2019,Matt Feldman,Screen Shot 2021-01-04 at 1_15_10 PM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/ps2ny-02V_CnVBLcGsI1bA/1dFqwvdB9WUJKZu2aKMMOvNMP7cJMALd-iOXOACshkBW9UqNlVt-66wr2xHEzhhTiX3KrYWgDCS_cNQ0aocmaGC8y4M72R8k6mOuZ_QExaklbQF91zg8awrUo4fTgXqVWRUhsK4pDOPj71179Ni-wHw9CsGUyqlDSi5JC2Y67WM/JThC49uNZqsO6-sCHwIkC4FC_b_HZMnwr3EGpl7JLjk)
Jack & Bry,U.K.-based company producing a variety of plant-based meats made from jackfruit,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,Jackfruit,Europe,United Kingdom,,London,https://www.jackandbry.com/,2019,"Bryony Tinn-Disbury, Jennifer Pardoe",blrl94xvk7toypgsgcni.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/o6B8cj7ZW6awGMRybQ3OOg/R4stJjxGjsb9e7JAzlen9elLuJ6nxNoAJXEXxxfXY8jXDq6UXvTcOfCHHb2kRRLWZCmEQ8sMVkq13o689qb3eo-Hxu8x2D0jAhAj8BTLuUfACYrEd9sMVYuEXD1PUI_j2Pkajp0NVNHD9O9tKOlE5rif4KN7mzfJWXMRTuO3gIQ/q4fshuVUGxlDKgthLCg1Xnu_hcJXZtXmtGZHA98BLNA)
Alpha Foods,"Plant-based burritos, chicken, and beef",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Chicken,Beef/veal",Soy,U.S. and Canada,United States,California,Glendale,http://alphaplantbased.com/,2015,"Loren Wallis, Cole Orobetz",download (2).png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/fLKuywMeUVmenPT0jVFBcg/-9YofATaxbTXj3I3peI-wvh1ccvfb5a94Dulyj622FPLO27ZWyC0-8FeqjNaVsij1Zg7pjAlkY9XTNZZN_MJ9H9DCM0jlEfYT1fuk5EEb6HqugWVvfjsOiMVD_j1b6JtP9yA8_XTtAyafYfD9YdfDw/CTqASdeVE1blfWQtVOGZPquVWx00hBCVxD9NlUFLp2E)
The Very Good Food Company,"We want to make plant-based eating as approachable, nutritious and delicious as possible by creating food that’s Very Good for people, animals and the planet (while having a little fun along the way). The Very Good Butchers has individual meat cuts and meal kits made with whole plant ingredients. ",Plant-based,"Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Ground meat/seafood","Pork,Beef/veal",Wheat,U.S. and Canada,Canada,BC,Victoria,https://www.verygoodbutchers.com/,2016,Mitchell Scott and James Davison,VGB_Logo_Variations-04_b858e039-cae8-48f7-837a-1f4e619b1cdd_300x.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/HDxFQct09CPy92lZQqgBWw/E79RdamxuMkHB3wgzM8PRLrmHKpHcLCc0Qq4et1YLlKu1h3-ozOdDQQAvVUQfQ7kX3TfeTaSZyQp2fQeH1g6wHt0exEqnkAvu1cg9X9F2AclZAPo7EWCrtlXPqQZEdZxvkHIViRWj8WQXvY60Zp7J8qdeo39W5YTuBsZ582Af1eUjbdwiVKyYejysf5i-B8fkdBav39hYrhiE8tTLPzQag/Dnmtiqf57xbAPb3-gx6gs1D_dMS1xIlyKcxPPTnZ2Zg)
Pivotal Foods,"Produces a variety of plant-based meats, raviolis, dips/dressings, and soups/sauces",Plant-based,"Dairy,Other",Specialized (focused on alternative proteins),End product formulation and manufacturing,Other,,"Soy,Coconut",U.S. and Canada,United States,Nevada,Stateline,http://www.pivotalfoods.com/,2016,"MJ Espiritu-Gerometta, Mark Garrison",logo (2).png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/Um1BS94Sumyvc__AlKIN2w/fhpxd5xW5OU11Bg7AysCzFz7UkCPE97WkJEw2iy-FlfDCTa8GaDxRNjknV4w6pF_xLoiFmSxvae8BMEy8_PRn0cWTds3xiEqrbK0zmzhjwXEevaRwNz6R7p9bKKN-FX6nQc-M0zvmAkcYV3OCaD4_g/K-bwzWsQ66K76a1Q3EAw6OBw90e_dbHt2K8WHwSO38E)
Cado Ice Cream,Produces avocado-based dairy-free ice cream,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,,U.S. and Canada,United States,Iowa,Fairfield,http://cadoicecream.com/,2016,"Meghan Dowd, Jack Dowd",Cado-Logo-simple-2-1.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/cNYSQE_zogGtN5z813IYPQ/iVp1ObPDh8tWs0BAZWJuRno93xpFT61frxWiCzoZBg8LI964c73QSOSrgXKEP9OtAGTGKh0x-TTXWC8Hjbqaw1PratDgmcN7y2bpCiFrffPK0tggCNpaD0Okiwo-kjey8q1ios5jlH02IThcQWJl6V4PoSu3_NOs-2_pOuV5h6s/pbGRjn5uEx-HeBp16FRoG-j7JRqZ1gsjDGr0ilH-lpk)
Mighty Meat,Produces plant-based meat,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Chicken,,Europe,United Kingdom,,London,http://mightymeatkitchen.com/,2018,"George Vou, Sangeeta Khanna",mighty-meat-logo-02@2x.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/dvaTO--29fZgtBZ-2BkJ4w/_Cl4hVAGZwwmySfcIpZGzfDVt4GwKevRHpfbQpJOv_T0bCvhU5n-0zV7cYMdBx86DRMI88hACTXyEgzuw2iwsyT0-st--7C54hiwtgwe2yb3zB5SkCDggnvXw6oiqlYOyOVDV0YJZdTJou2Ca8JNqXLPeIcV2ZcRO2tS_2IvBgg/Lz8kk25nQYVryCn6TbE0m9Fbsi8IOpEj9i1nhUW6OYc)
Moving Mountains,Maker of the B12 Burger,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Pork,Beef/veal,Fish","Wheat,Soy,Mushrooms",Europe,United Kingdom,,London,https://movingmountainsfoods.com/,2016,Simeon Van der Molen,logoMoveMountains.svg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/nyNfLBfXW6ql3y2C-OUcYA/ThVNNgvI63ZXVivrXO7FzMSRWYdFMvsDK1mu6u7_oiyc4QZFmNPSa_rqeB6HXszCelGdlriSODN7NC6jjt4dlA2jNn1EcDXl4C1odKuVXuju_SgeBNzCWN04u4i3DyGxaFJqjX7La38KFBfe0HZIM67W18WtDedy54wU9dCo7Bg/n3QMj3c8cFtCkR8Md4lK6Vb4ob6mRcWH5YqT3wP0N8Q)
The Field Roast Grain Meat Company,"Produces a variety of plant-based (grain protein) meat alternatives for retail and food service sale. Products include sausages, frankfurters, holiday roasts/meatloaf, and Chao slices (cheese).",Plant-based,"Dairy,Meat",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Cheese","Beef/veal,Pork","Wheat,Coconut,Potato",U.S. and Canada,United States,Washington,Seattle,http://fieldroast.com/,1997,David Lee,logo_FieldRoast_Secondary.svg (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/3hFGNrF3YngYJjhxi0_MfA/ewo5eTww1DD0H3ggYQjpTarj9XQd6bCYfn_HpkcHMrElkOi2OYMYj9xVnS4zkKSZqr12kJ2ABO5OIvFowpi2KSVLEL9DSBW7vsXnXt_45xy0ABCZtBhLSs-hhOpQr0y2Y35RnYmLWLmHGJLj-QK3Gnq9Qu0E8nblKwUtg7RNP-s/WrvtgDrsDgugW3r1h4KEvoXPkxVoZtabNVDgpj2E_ww)
Follow Your Heart,"Produces plant-based cheeses, dips, spreads, dressings, Vegenaise, and the VeganEgg ",Plant-based,"Dairy,Eggs",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,"Canola,Soy","U.S. and Canada,Europe",United States,CA,Canoga Park,http://followyourheart.com/,1970,"Michael Besançon, Bob Goldberg, Paul Lewin, Spencer Windbiel",Screen Shot 2021-01-22 at 11_45_22 AM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/TJTqjS4ws3mBm-9DhG5Dbg/lEqRT4bF28fntJhWm8yvV_0ljcw7OK3FUfoEl9SiaAbYSt_vkROa1G7t5Lki_xEztYZKcyaQ9fwJ0UUZDLig950NNiGNZX7N4wFdRWg2JgQGmn82xcY43hIUM-A7hlylhC_EtGuMQniC34mJuDUS71zZcCHDUAVFhpcYGZAskpQ/rXT9FDeOmp-S9T95elYDhk1KOmA4He1BoB4oMAv5A5A)
Culcherd,Produces plant-based cheese,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,"Cashew,Coconut",U.S. and Canada,Canada,ON,Toronto,https://culcherd.com/,2015,"Tim Donnelly, Jillian Leo",culcherd_180x.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/O5kRex1kDhgR_MNSDmzsOw/XW5FxDxOmfOAvtKdJW7EIobRI2ZDCCe1F6XQmHI2HLeLM3CLVI-njGVgOOyx-Iu7F2BqFi0XBDMast6rXcpMYFDD1dD5MucpDdxqyzAS3lnPz-YFubbp0EUqmJPO3TutaWs6-90L2QuY9bj0btzNIg/4o17FnT6VV2Cbj03Pm9lu2VuDCR_0FgmtK5ACO-Urnw)
Like Meat,Germany-based company that produces a variety of plant-based meat alternatives.,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Chicken,Beef/veal,Pork,Mutton/lamb",Soy,Europe,Germany,N/A,Dusseldorf,https://likemeat.com/,2013,Timo Recker,Screen Shot 2021-02-01 at 11_40_03 AM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/61ihVijf01oi2ftBVnHR-g/xE9tZnqZGyClgt8G72oW5eFO7qFnHD7F5GXYw3vEyHZPOJtqtwnQFZQavTRs-Iif46K7JTayeKuXpdoHN10TZCM-yjsB925zRK6v3qEhdd_YKP7qbiKBJrmB4Loik8Q7cxz2zzaMyziHcBCs1jW37bnLz_-cZPWaXLbm_VFYdFw/XKhMHa5_4oXLzNiJs6hEKxKFkpb1_dcF0Sqpknora1I)
Louisville Vegan Jerky Co.,"Produces plant-based jerky. TVP based, uses Kentucky sorghum as a sweetener (similar to maple syrup)",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,,,Soy,U.S. and Canada,United States,Kentucky,Louisville,http://lvjco.com/,2012,Stanley Chase III,Capture.JPG (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/TE_YCVZtqqUC9L78SdkjcQ/TBebnX6MsEosTGdwNHfsXCuKKYVEDD5Dvc5G9c3zvcVAeqf9AFJsfA2wluce2AGiuKxF84Td-OgvNmNC9R-V-eCoV6yHsuRV86HktEu8x31BHFY5t0ZnOV3Wkt-qZpbabg9JqToojblnf-nb_a-LXQ/ROIw_x7SzAWyLtXZ5-z7eAE-Ort7sw_UlUwTXQhzn50)
NUMU Vegan Cheese,Produces non-dairy mozzarella cheese for foodservice,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,"Soy,Coconut",U.S. and Canada,United States,New York,New York,http://www.numuvegan.com/,2016,Jill Carnegie,Capture.JPG (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/-WMeDfNmiU6NNP5q0KKozw/oCrBbXuMeDUgaSd7LmNbICNdOpza-UMnGRwP5KAX6n3pGUsaPyNRlf6-ga_UHY-roKhgRIgYlndz2X7XIj7Cc1qsz-mxcKwV9Cv7Pvn3EtQJYUCs4CRUVEOhvJ6LkIMQpYIBVzl1hP-OLTXOlLsGzQ/JYYgkqu1wnrWymemgbchh-PbqxXiSoaHVfavHQ8WNsQ)
Uproot,Produces plant-based milk concentrates for food service settings,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Oat,Pea",U.S. and Canada,United States,New York,New York,https://uprootmilk.com/,2019,"Jacob Conway, Kevin Eve",uproot.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/YNOJO55Xf47WciqxS-0OcQ/FHqUX6UMXvUu7DXV1MPVToUh__0iJKgTbC7b5GA4fEmRgKH91QJwxpHVpqJYGRvgbqO0IAyO3gfCer9l9Q5kRTrajDiAIDzXIYYLh5tEI84Hq73ag0T0ovl3agh1W0aLiRXOOE5uqdXCejmhHFI2aw/Skbi4L_7TNk9b2u15untx3doV8q49Zi5WUunLOML7Os)
Impossible Foods,Maker of the Impossible Burger and Impossible Pork. Products use fermentation-derived heme,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,Soy,"U.S. and Canada,Asia Pacific",United States,CA,Redwood City,https://impossiblefoods.com/,2011,Pat Brown,download (3).png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/w3IKI0pWiDdtULeWL2FiAA/NfIsLIehEcTgMC5ISuHCD-QMu5EyLhdGz09LIrjSXSojcZF-Tnv6HZUg_AX39DRDlkt4dwsPNgFVHat4B5ozC5feDx93Uv3k8up658eTVfZNar2zg-fiVMlPs5FzXPrj1bO0T76ZKFMnkMydsZ1vkQ/gbB0oQ52yXxO14OSFnZYNez0SPmaxdq-XWEjszeud_w)
Ocean Hugger Foods,Tomato sushi (Ahimi),Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Other,Fish,Other,"U.S. and Canada,Europe,Asia Pacific",United States,NY,New York,https://oceanhuggerfoods.com/,2015,"David Benzaquen, James Corwell",download (8).png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/GLpPu8Yh_jDApAezciGzWA/npQLU23d6obFP06S234hoTCVFpQT3WcTB3qZuFad1yl3raYnegPOLtqY5cIU_sU7op6LUNJhZvsXcRWVINea2SAXSUnjd0vSPaAohHY2BKSsVlTiGo9yjjaWQ7HL-v4HFAdjKEqKEWT5IUiPeGe4Zg/Kv2L5I_3R1iyOX4ckAEkQ92GZvJVz_yw06v_3bIcQYM)
Veggyness,Vegan cheeses and deli meat made from seitan,Plant-based,"Dairy,Meat",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Ground meat/seafood",,"Wheat,Coconut",Europe,Germany,,,https://www.veggyness.com/home,1993,Klaus Gaiser,Screen Shot 2021-01-10 at 1_57_35 PM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706292000000/Svieln8hpp8OOOA7ZE3Wfw/_STbZmtN9inPrTOyyYcWFJYeyNOm3Mjy4Zz8XWw0RHCQm1OY2zM3mAEKdGk6_uu6is0rr43RkvmRtXf-uPw9YBXUSAk6QvxrNI7UgAWfr4m681z_lc_6MYzbE-GFnAOumvUJ50w3kvItfHP4HvCdg2iTEV5Wz9_LlQwFpfV00eo/3xlOWJDlmUhd4tr7NnZ_AioFDeMkSHD2l5ZxjourzSw)
